date,index
1/1/1980,46.2
2/1/1980,50.2
3/1/1980,43.6
4/1/1980,37.4
5/1/1980,29.4
6/1/1980,30.3
7/1/1980,35
8/1/1980,45.5
9/1/1980,50.1
10/1/1980,55.5
11/1/1980,58.2
12/1/1980,53
1/1/1981,49.2
2/1/1981,48.8
3/1/1981,49.6
4/1/1981,51.6
5/1/1981,53.5
6/1/1981,50.7
7/1/1981,46.7
8/1/1981,48.3
9/1/1981,42.5
10/1/1981,40
11/1/1981,36.1
12/1/1981,37.8
1/1/1982,38.2
2/1/1982,38.3
3/1/1982,36.8
4/1/1982,37.8
5/1/1982,35.5
6/1/1982,38.3
7/1/1982,38.4
8/1/1982,38.3
9/1/1982,38.8
10/1/1982,39.4
11/1/1982,39.2
12/1/1982,42.8
1/1/1983,46
2/1/1983,54.4
3/1/1983,53.9
4/1/1983,54.2
5/1/1983,56.1
6/1/1983,57.5
7/1/1983,63.6
8/1/1983,63.1
9/1/1983,62.5
10/1/1983,64.4
11/1/1983,66
12/1/1983,69.9
1/1/1984,60.5
2/1/1984,61.3
3/1/1984,58.9
4/1/1984,61
5/1/1984,58.6
6/1/1984,58.1
7/1/1984,56.1
8/1/1984,53
9/1/1984,50
10/1/1984,50.8
11/1/1984,50.3
12/1/1984,50.6
1/1/1985,50.3
2/1/1985,49.9
3/1/1985,47.8
4/1/1985,48.2
5/1/1985,47.1
6/1/1985,47.8
7/1/1985,47.9
8/1/1985,47.7
9/1/1985,49.9
10/1/1985,50.9
11/1/1985,52
12/1/1985,50.7
1/1/1986,51.2
2/1/1986,51
3/1/1986,51
4/1/1986,49.7
5/1/1986,53.4
6/1/1986,50.5
7/1/1986,48
8/1/1986,52.6
9/1/1986,52.4
10/1/1986,51.2
11/1/1986,51.2
12/1/1986,50.5
1/1/1987,54.9
2/1/1987,52.6
3/1/1987,55
4/1/1987,55.5
5/1/1987,57.2
6/1/1987,57.4
7/1/1987,57.5
8/1/1987,59.3
9/1/1987,60
10/1/1987,60.7
11/1/1987,58.8
12/1/1987,61
1/1/1988,57.5
2/1/1988,56.2
3/1/1988,54.6
4/1/1988,55.8
5/1/1988,55.5
6/1/1988,59.3
7/1/1988,58.2
8/1/1988,56
9/1/1988,54.5
10/1/1988,55.4
11/1/1988,55.6
12/1/1988,56
1/1/1989,54.7
2/1/1989,54.1
3/1/1989,51.5
4/1/1989,52.2
5/1/1989,49.3
6/1/1989,47.3
7/1/1989,45.9
8/1/1989,45.1
9/1/1989,46
10/1/1989,46.8
11/1/1989,46.8
12/1/1989,47.4
1/1/1990,47.2
2/1/1990,49.1
3/1/1990,49.9
4/1/1990,50
5/1/1990,49.5
6/1/1990,49.2
7/1/1990,46.6
8/1/1990,46.1
9/1/1990,44.5
10/1/1990,43.2
11/1/1990,41.3
12/1/1990,40.8
1/1/1991,39.2
2/1/1991,39.4
3/1/1991,40.7
4/1/1991,42.8
5/1/1991,44.5
6/1/1991,50.3
7/1/1991,50.6
8/1/1991,52.9
9/1/1991,54.9
10/1/1991,53.1
11/1/1991,49.5
12/1/1991,46.8
1/1/1992,47.3
2/1/1992,52.7
3/1/1992,54.6
4/1/1992,52.6
5/1/1992,55.7
6/1/1992,53.6
7/1/1992,53.9
8/1/1992,53.4
9/1/1992,49.7
10/1/1992,50.3
11/1/1992,53.6
12/1/1992,54.2
1/1/1993,55.8
2/1/1993,55.2
3/1/1993,53.5
4/1/1993,50.2
5/1/1993,51.2
6/1/1993,49.6
7/1/1993,50.2
8/1/1993,50.7
9/1/1993,50.8
10/1/1993,53.4
11/1/1993,53.8
12/1/1993,55.6
1/1/1994,56
2/1/1994,56.5
3/1/1994,56.9
4/1/1994,57.4
5/1/1994,58.2
6/1/1994,58.8
7/1/1994,58.5
8/1/1994,58
9/1/1994,59
10/1/1994,59.4
11/1/1994,59.2
12/1/1994,56.1
1/1/1995,57.4
2/1/1995,55.1
3/1/1995,52.1
4/1/1995,51.5
5/1/1995,46.7
6/1/1995,45.9
7/1/1995,50.7
8/1/1995,47.1
9/1/1995,48.1
10/1/1995,46.7
11/1/1995,45.9
12/1/1995,46.2
1/1/1996,45.5
2/1/1996,45.9
3/1/1996,46.9
4/1/1996,49.3
5/1/1996,49.1
6/1/1996,53.6
7/1/1996,49.7
8/1/1996,51.6
9/1/1996,51.1
10/1/1996,50.5
11/1/1996,53
12/1/1996,55.2
1/1/1997,53.8
2/1/1997,53.1
3/1/1997,53.8
4/1/1997,53.7
5/1/1997,56.1
6/1/1997,54.9
7/1/1997,57.7
8/1/1997,56.3
9/1/1997,53.9
10/1/1997,56.4
11/1/1997,55.7
12/1/1997,54.5
1/1/1998,53.8
2/1/1998,52.9
3/1/1998,52.9
4/1/1998,52.2
5/1/1998,50.9
6/1/1998,48.9
7/1/1998,49.2
8/1/1998,49.3
9/1/1998,48.7
10/1/1998,48.7
11/1/1998,48.2
12/1/1998,46.8
1/1/1999,50.6
2/1/1999,51.7
3/1/1999,52.4
4/1/1999,52.3
5/1/1999,54.3
6/1/1999,55.8
7/1/1999,53.6
8/1/1999,54.8
9/1/1999,57
10/1/1999,57.2
11/1/1999,58.1
12/1/1999,57.8
1/1/2000,56.7
2/1/2000,55.8
3/1/2000,54.9
4/1/2000,54.7
5/1/2000,53.2
6/1/2000,51.4
7/1/2000,52.5
8/1/2000,49.9
9/1/2000,49.7
10/1/2000,48.7
11/1/2000,48.5
12/1/2000,43.9
1/1/2001,42.3
2/1/2001,42.1
3/1/2001,43.1
4/1/2001,42.7
5/1/2001,41.3
6/1/2001,43.2
7/1/2001,43.5
8/1/2001,46.3
9/1/2001,46.2
10/1/2001,40.8
11/1/2001,44.1
12/1/2001,45.3
1/1/2002,47.5
2/1/2002,50.7
3/1/2002,52.4
4/1/2002,52.4
5/1/2002,53.1
6/1/2002,53.6
7/1/2002,50.2
8/1/2002,50.3
9/1/2002,50.5
10/1/2002,49
11/1/2002,48.5
12/1/2002,51.6
1/1/2003,51.3
2/1/2003,48.8
3/1/2003,46.3
4/1/2003,46.1
5/1/2003,49
6/1/2003,49
7/1/2003,51
8/1/2003,53.2
9/1/2003,52.4
10/1/2003,55.2
11/1/2003,58.4
12/1/2003,60.1
1/1/2004,60.8
2/1/2004,59.9
3/1/2004,60.6
4/1/2004,60.6
5/1/2004,61.4
6/1/2004,60.5
7/1/2004,59.9
8/1/2004,58.5
9/1/2004,57.4
10/1/2004,56.3
11/1/2004,56.2
12/1/2004,57.2
1/1/2005,56.8
2/1/2005,55.5
3/1/2005,55.2
4/1/2005,52.2
5/1/2005,50.8
6/1/2005,52.4
7/1/2005,52.8
8/1/2005,52.4
9/1/2005,56.8
10/1/2005,57.2
11/1/2005,56.7
12/1/2005,55.1
1/1/2006,55
2/1/2006,55.8
3/1/2006,54.3
4/1/2006,55.2
5/1/2006,53.7
6/1/2006,52
7/1/2006,53
8/1/2006,53.7
9/1/2006,52.2
10/1/2006,51.4
11/1/2006,50.3
12/1/2006,51.4
1/1/2007,49.5
2/1/2007,51.9
3/1/2007,50.7
4/1/2007,52.6
5/1/2007,52.5
6/1/2007,52.6
7/1/2007,52.4
8/1/2007,50.9
9/1/2007,51
10/1/2007,51.1
11/1/2007,50.5
12/1/2007,49
1/1/2008,50.3
2/1/2008,47.6
3/1/2008,48.3
4/1/2008,48.8
5/1/2008,48.8
6/1/2008,49.8
7/1/2008,50
8/1/2008,49.2
9/1/2008,44.8
10/1/2008,38.9
11/1/2008,36.5
12/1/2008,33.1
1/1/2009,34.9
2/1/2009,35.5
3/1/2009,36
4/1/2009,39.5
5/1/2009,41.7
6/1/2009,45.8
7/1/2009,49.9
8/1/2009,53.5
9/1/2009,54.4
10/1/2009,56
11/1/2009,54.4
12/1/2009,55.3
1/1/2010,57.2
2/1/2010,55.8
3/1/2010,58.8
4/1/2010,58.1
5/1/2010,58.3
6/1/2010,56.4
7/1/2010,56.4
8/1/2010,58
9/1/2010,56.3
10/1/2010,57.7
11/1/2010,57.6
12/1/2010,57.5
1/1/2011,59.1
2/1/2011,59.6
3/1/2011,59.2
4/1/2011,59.3
5/1/2011,53.9
6/1/2011,56.9
7/1/2011,52.7
