date,price
19-Dec-14,55.89
26-Dec-14,55.58
02-Jan-15,53.44
09-Jan-15,48.77
16-Jan-15,47.07
23-Jan-15,46.46
30-Jan-15,45.32
06-Feb-15,50.58
13-Feb-15,51.14
20-Feb-15,51.69
27-Feb-15,49.16
06-Mar-15,50.38
13-Mar-15,47.69
20-Mar-15,44.39
27-Mar-15,48.68
03-Apr-15,48.91
10-Apr-15,51.78
17-Apr-15,54.78
24-Apr-15,56.14
01-May-15,57.98
08-May-15,59.73
15-May-15,60.01
22-May-15,58.95
29-May-15,58.19
05-Jun-15,59.66
12-Jun-15,60.07
19-Jun-15,59.89
26-Jun-15,60.01
03-Jul-15,57.92
10-Jul-15,52.38
17-Jul-15,51.68
24-Jul-15,49.21
31-Jul-15,47.91
07-Aug-15,44.94
14-Aug-15,43.2
21-Aug-15,41.34
28-Aug-15,40.73
04-Sep-15,46.73
11-Sep-15,45.16
18-Sep-15,45.48
25-Sep-15,45.57
02-Oct-15,45
09-Oct-15,48.36
16-Oct-15,46.82
23-Oct-15,45.16
30-Oct-15,44.99
06-Nov-15,45.98
13-Nov-15,42.7
20-Nov-15,40.62
27-Nov-15,40.63
04-Dec-15,40.4
11-Dec-15,36.93
18-Dec-15,35.78
25-Dec-15,36.53
01-Jan-16,37.02
