date,indpro
8/1/1979,50.9265
9/1/1979,51.9504
10/1/1979,52.285
11/1/1979,51.5727
12/1/1979,51.1049
1/1/1980,51.145
2/1/1980,52.1044
3/1/1980,52.329
4/1/1980,50.5318
5/1/1980,49.1696
6/1/1980,49.4231
7/1/1980,47.1411
8/1/1980,48.6194
9/1/1980,50.0239
10/1/1980,50.5618
11/1/1980,50.8666
12/1/1980,50.8217
1/1/1981,50.5289
2/1/1981,51.0308
3/1/1981,51.5522
4/1/1981,50.4841
5/1/1981,50.7724
6/1/1981,51.8884
7/1/1981,50.3903
8/1/1981,51.5208
9/1/1981,51.5421
10/1/1981,51.3069
11/1/1981,50.2612
12/1/1981,49.5428
1/1/1982,48.7263
2/1/1982,50.1796
3/1/1982,49.8752
4/1/1982,48.6632
5/1/1982,48.2506
6/1/1982,49.0102
7/1/1982,47.269
8/1/1982,47.9848
9/1/1982,48.1972
10/1/1982,47.7283
11/1/1982,47.0236
12/1/1982,46.4501
1/1/1983,47.7489
2/1/1983,47.8607
3/1/1983,48.3292
4/1/1983,48.2514
5/1/1983,48.3515
6/1/1983,49.6292
7/1/1983,48.6966
8/1/1983,50.3094
9/1/1983,51.6315
10/1/1983,51.8448
11/1/1983,51.3303
12/1/1983,51.2998
1/1/1984,53.0321
2/1/1984,53.7075
3/1/1984,54.0458
4/1/1984,53.6643
5/1/1984,53.6147
6/1/1984,54.8965
7/1/1984,53.1942
8/1/1984,54.4674
9/1/1984,55.0108
10/1/1984,54.6361
11/1/1984,54.1673
12/1/1984,53.9361
1/1/1985,54.4839
2/1/1985,55.2246
3/1/1985,55.2127
4/1/1985,54.2654
5/1/1985,54.2072
6/1/1985,55.3908
7/1/1985,53.1781
8/1/1985,54.6775
9/1/1985,55.4704
10/1/1985,54.9001
11/1/1985,54.4048
12/1/1985,54.8127
1/1/1986,55.7363
2/1/1986,55.7743
3/1/1986,55.0214
4/1/1986,54.8484
5/1/1986,54.4567
6/1/1986,55.5579
7/1/1986,53.8438
8/1/1986,55.309
9/1/1986,55.8945
10/1/1986,55.7163
11/1/1986,55.239
12/1/1986,55.4722
1/1/1987,55.9408
2/1/1987,57.1915
3/1/1987,57.2031
4/1/1987,56.47
5/1/1987,56.9886
6/1/1987,58.7342
7/1/1987,56.9714
8/1/1987,59.0755
9/1/1987,59.3883
10/1/1987,60.1083
11/1/1987,59.6211
12/1/1987,59.4476
1/1/1988,60.1507
2/1/1988,60.7973
3/1/1988,60.8651
4/1/1988,60.3842
5/1/1988,60.348
6/1/1988,62.0956
7/1/1988,59.9587
8/1/1988,61.9351
9/1/1988,62.1403
10/1/1988,62.1048
11/1/1988,61.3046
12/1/1988,61.0452
1/1/1989,61.7629
2/1/1989,61.9523
3/1/1989,61.7229
4/1/1989,61.8159
5/1/1989,60.946
6/1/1989,62.6114
